scenario,GCAMRegion,GHG,2020,2030,2050,2100
Equity,Africa_Western,NOx,6.021415097999211,6.254758001792721,7.212612710337261,7.2798767657930465
Equity,Africa_Western,OC,4.439726804357897,4.4928965620882035,4.314336305789043,3.03997027404405
Equity,Africa_Western,PM,7.2958458763217156,7.410987638368494,7.124387154243287,4.985931709844734
Equity,Africa_Western,SO2,0.9348620604295359,1.0421881775573838,1.5562564250207187,1.3049662096885248
Equity,Argentina,BC,0.05761020925863696,0.04572585865372696,0.032666902555984936,0.02086007656498298
Equity,Argentina,CH4,5.078943923870685,5.453990939625978,5.944154904274372,5.710346932796106
Equity,Argentina,CO,5.500364071851638,4.6033436534248615,3.392130425243418,2.613773100759044
Equity,Argentina,NH3,0.5387282817828137,0.6070295345624946,0.6811124963347669,0.6941510404996138
Equity,Argentina,NMVOC,1.2050776100636857,1.0407184440182156,0.8516434354656077,0.9091292302192566
Equity,Argentina,NOx,1.2674598145690887,0.9917418301150087,0.6741130267386207,0.31701185446318464
Equity,Argentina,OC,0.21899906300829788,0.19608726784214497,0.16400970900669498,0.15078419937692794
Equity,Argentina,PM,0.3765398902863667,0.330703237533367,0.2704674766911574,0.2385674893304883
