region,Categories,GHG,2020,2030,2050,2100
Brazil,agriculture,NH3,2.75255215,2.775985002,2.758127311,2.328885676
Brazil,agriculture,NMVOC,0.707407046,0.572554374,0.448579828,0.376057218
Brazil,agriculture,NOx,0.357346723,0.310653883,0.26740043,0.211164667
Brazil,agriculture,OC,0.073689289,0.052560434,0.023274175,0.011109293
Brazil,agriculture,SO2,0.070932972,0.041095754,0.015662225,0.003161459
Brazil,industry,BC,0.051234488,0.058238679,0.059889866,0.012603299
Brazil,industry,CH4,0.097524373,0.125433363,0.131658009,0.060536782
Brazil,industry,CO,2.427156631,2.219749365,1.727128882,0.600013225
Brazil,industry,NH3,0.139413064,0.163569191,0.173611657,0.053951148
Brazil,industry,NMVOC,1.380622755,1.354215196,1.174753832,0.645287296
Brazil,industry,NOx,0.991362563,1.040622049,0.977864088,0.331104347
Brazil,industry,OC,0.265542414,0.311549491,0.315087776,0.048694864
Brazil,industry,SO2,0.962009532,0.787266766,0.559956034,0.273655021
Brazil,power,BC,0.001284043,0.001786731,5.57E-04,1.37E-05
Brazil,power,CH4,0.85805306,0.753196291,0.554954247,0.260612933
Brazil,power,CO,0.255109193,0.386768871,0.303522025,0.639069482
Brazil,power,NH3,0.00874791,0.016903352,0.009551007,1.96E-04
Brazil,power,NMVOC,0.810137406,0.65793062,0.449049568,0.190928374
Brazil,power,NOx,0.397784664,0.404176411,0.162283351,0.156441699
Brazil,power,OC,0.003147059,0.005448852,0.001666753,6.27E-05
Brazil,power,SO2,0.321521444,0.162699641,0.077119945,0.045672099
Brazil,residential commercial,BC,0.032658067,0.022752208,0.012572017,0.005133459
Brazil,residential commercial,CH4,3.701795201,3.256292942,2.98294697,1.274640456
Brazil,residential commercial,CO,1.924488523,1.329588099,0.594671914,0.108271494
Brazil,residential commercial,NH3,0.288644877,0.301659396,0.297641746,0.220835724
Brazil,residential commercial,NMVOC,0.302536972,0.268882279,0.18483603,0.063698264
Brazil,residential commercial,NOx,0.071599069,0.053221056,0.032192326,0.012522881
