"","Units","scenario","region","year","value"
"361","MTC","cost_20constraint","European Free Trade Association",2035,20.434442643042
"362","MTC","cost_20constraint","European Free Trade Association",2040,19.018633766482
"363","MTC","cost_20constraint","European Free Trade Association",2045,19.282930165223
"364","MTC","cost_20constraint","European Free Trade Association",2050,20.509282767219
"365","MTC","cost_20constraint","European Free Trade Association",2055,22.040834918455
"366","MTC","cost_20constraint","European Free Trade Association",2060,23.900507905068
"367","MTC","cost_20constraint","European Free Trade Association",2065,25.500019110283
"368","MTC","cost_20constraint","European Free Trade Association",2070,27.4704215683792
"369","MTC","cost_20constraint","European Free Trade Association",2075,29.5175712971355
"370","MTC","cost_20constraint","European Free Trade Association",2080,31.4373810323992
"371","MTC","cost_20constraint","European Free Trade Association",2085,33.0490393328696
"372","MTC","cost_20constraint","European Free Trade Association",2090,34.5422755329987
"373","MTC","cost_20constraint","European Free Trade Association",2095,36.072488681394
"374","MTC","cost_20constraint","European Free Trade Association",2100,37.7388724904756
"375","MTC","cost_20constraint","India",1975,34.41649251
"376","MTC","cost_20constraint","India",1990,163.18165183716
"377","MTC","cost_20constraint","India",2005,340.1312364533
"378","MTC","cost_20constraint","India",2010,494.879989911
"379","MTC","cost_20constraint","India",2015,627.89809054
"380","MTC","cost_20constraint","India",2020,748.392515836064
"381","MTC","cost_20constraint","India",2025,974.797254792775
"382","MTC","cost_20constraint","India",2030,1180.12802411298
"383","MTC","cost_20constraint","India",2035,1371.33124460989
"384","MTC","cost_20constraint","India",2040,1561.01803806103
"385","MTC","cost_20constraint","India",2045,1720.10580162997
"386","MTC","cost_20constraint","India",2050,1879.54087341658
"387","MTC","cost_20constraint","India",2055,2031.76337020723
"388","MTC","cost_20constraint","India",2060,2173.60837666018
"389","MTC","cost_20constraint","India",2065,2286.06617720821
"390","MTC","cost_20constraint","India",2070,2375.80175901163
"391","MTC","cost_20constraint","India",2075,2444.76174036061
"392","MTC","cost_20constraint","India",2080,2347.22491163873
"393","MTC","cost_20constraint","India",2085,2315.28513347868
"394","MTC","cost_20constraint","India",2090,2292.46876474996
"395","MTC","cost_20constraint","India",2095,2268.07411226538
"396","MTC","cost_20constraint","India",2100,2239.81810094158
"397","MTC","cost_20constraint","Indonesia",1975,7.993835958
"398","MTC","cost_20constraint","Indonesia",1990,45.4573408636
"399","MTC","cost_20constraint","Indonesia",2005,99.466121428
"400","MTC","cost_20constraint","Indonesia",2010,111.345203998
"401","MTC","cost_20constraint","Indonesia",2015,138.66394067
"402","MTC","cost_20constraint","Indonesia",2020,166.869886786117
"403","MTC","cost_20constraint","Indonesia",2025,193.843625266695
"404","MTC","cost_20constraint","Indonesia",2030,222.645461607954
"405","MTC","cost_20constraint","Indonesia",2035,246.692185831723
"406","MTC","cost_20constraint","Indonesia",2040,268.204952139188
"407","MTC","cost_20constraint","Indonesia",2045,285.765714436927
"408","MTC","cost_20constraint","Indonesia",2050,301.466018709734
"409","MTC","cost_20constraint","Indonesia",2055,317.18471710343
"410","MTC","cost_20constraint","Indonesia",2060,332.385223029346
"411","MTC","cost_20constraint","Indonesia",2065,344.308113405881
"412","MTC","cost_20constraint","Indonesia",2070,354.467790319225
"413","MTC","cost_20constraint","Indonesia",2075,360.884343986941
"414","MTC","cost_20constraint","Indonesia",2080,362.804650566741
"415","MTC","cost_20constraint","Indonesia",2085,365.829354092157
"416","MTC","cost_20constraint","Indonesia",2090,365.773577912502
"417","MTC","cost_20constraint","Indonesia",2095,364.508258946314
"418","MTC","cost_20constraint","Indonesia",2100,362.056285341065
"419","MTC","cost_20constraint","Japan",1975,147.4738014
"420","MTC","cost_20constraint","Japan",1990,313.64693094
"421","MTC","cost_20constraint","Japan",2005,347.5839550939
"422","MTC","cost_20constraint","Japan",2010,325.341670738
"423","MTC","cost_20constraint","Japan",2015,328.7782965561
"424","MTC","cost_20constraint","Japan",2020,310.454329098
"425","MTC","cost_20constraint","Japan",2025,289.8855796021
"426","MTC","cost_20constraint","Japan",2030,275.8494887042
"427","MTC","cost_20constraint","Japan",2035,262.3909639936
"428","MTC","cost_20constraint","Japan",2040,252.4131595563
"429","MTC","cost_20constraint","Japan",2045,242.0348213626
"430","MTC","cost_20constraint","Japan",2050,233.5684323608
"431","MTC","cost_20constraint","Japan",2055,226.89629174417
"432","MTC","cost_20constraint","Japan",2060,219.643226066739
"433","MTC","cost_20constraint","Japan",2065,208.475032583568
"434","MTC","cost_20constraint","Japan",2070,200.849803338914
"435","MTC","cost_20constraint","Japan",2075,194.590009149188
"436","MTC","cost_20constraint","Japan",2080,168.165694137564
"437","MTC","cost_20constraint","Japan",2085,156.480382355773
"438","MTC","cost_20constraint","Japan",2090,148.458420416414
"439","MTC","cost_20constraint","Japan",2095,143.768376906412
"440","MTC","cost_20constraint","Japan",2100,138.915323974103
"441","MTC","cost_20constraint","Mexico",1975,25.944145795
"442","MTC","cost_20constraint","Mexico",1990,82.275246768
